@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class {0,1}
@attribute Outlier {yes,no}
@attribute ExtremeValue {yes,no}
@data
'ABDULKA01',1560,57446,38387,2975,9394,17440,5660,1160,3189,2527,4657,28307,15837,9304,6712,18,1,1,yes,yes
'ABDURSH01',672,24862,13338,1498,3976,5474,1847,718,556,1911,1845,10215,4789,4427,3614,477,146,1,yes,yes
'ADAMSAL01',988,27203,13910,2015,4922,6937,4012,1289,808,2194,3214,11464,5709,3160,2490,15,2,1,yes,yes
'ADAMSMI01',653,20446,9621,416,1484,1900,4209,1081,67,1402,1193,7849,3257,2543,2158,2857,949,1,yes,yes
'ADDISRA01',379,5697,2186,262,515,777,339,148,83,284,671,2047,920,359,277,245,69,0,yes,yes
'AGUIRMA01',923,27730,18458,1704,2874,4578,2871,687,296,2306,2599,14865,7201,4944,3664,1258,392,1,yes,yes
'AINGEDA01',1042,27755,11964,695,2073,2768,4199,1133,132,1566,2549,9905,4643,1980,1676,2651,1002,1,yes,yes
'ALARIMA01',325,5500,2432,438,682,1120,363,132,109,309,712,2184,1037,418,324,135,34,0,yes,no
'ALEXACO02',187,4069,1690,89,320,409,227,111,18,203,377,1552,655,417,339,121,41,0,yes,no
'ALFORST01',169,1641,744,25,119,144,176,85,10,89,113,634,291,146,127,108,35,0,yes,no
'ALLENLU01',702,20159,9407,381,928,2205,3174,604,124,247,1799,8385,3884,2157,1639,0,0,0,yes,no
'ALLENRA02',657,24358,13545,728,2327,3055,2587,818,116,1604,1634,10639,4741,2914,2577,3742,1486,1,yes,yes
'ANDERCA01',680,14040,4953,1432,2814,4246,385,480,590,926,1741,4090,2011,1668,929,23,2,0,yes,yes
'ANDERKE02',858,25870,10789,623,2018,2641,5196,1259,112,1768,1974,9512,4002,2833,2238,1580,547,1,yes,yes
'ANDERNI01',800,24922,11529,1011,3053,4064,2087,1114,364,1358,1502,9891,4416,2461,1642,2964,1055,0,yes,yes
'ANDERWI01',555,15974,6771,550,1532,2082,2105,594,342,1163,1500,5952,2804,1353,1064,372,99,0,yes,yes
'ANTHOGR01',757,15848,5497,262,1155,1417,2997,887,79,1043,1324,4749,1914,1445,1059,1748,610,0,yes,yes
'ARCHINA01',876,31159,16481,344,1015,2046,6476,719,81,1123,2002,12628,5899,5760,4664,85,19,1,yes,yes
'ARIZIPA01',713,24897,16266,0,0,6129,1665,0,0,0,2764,13354,5628,6189,5010,0,0,1,yes,yes
'ARMSTDA01',647,17470,7002,534,1452,1986,3044,1008,87,1381,1172,5891,2424,1514,1337,2432,817,0,yes,yes
'ARROYCA01',196,3802,1494,80,239,319,701,123,10,302,345,1323,562,402,321,155,49,0,yes,no
'ASKEWVI01',467,9361,3313,400,776,1176,1017,304,106,503,972,2534,1215,1070,807,253,76,0,yes,yes
'AUGMOST01',965,21270,7919,1247,1916,3163,1538,962,311,1237,1710,6407,3012,2586,1883,79,12,0,yes,no
'AVERYWI01',142,1205,379,14,79,93,199,34,6,106,125,415,137,91,65,157,40,0,yes,no
'BAGLEJO01',665,17120,5802,413,1316,1729,3980,755,54,1512,1090,5398,2359,1245,970,473,114,0,yes,yes
'BAILEJA01',595,11625,5246,1010,1978,2988,488,305,521,1057,1978,4228,2045,1644,1155,13,1,0,yes,no
'BAILETH01',928,24873,11834,1304,3414,4718,1298,435,1086,1444,1843,10056,4753,2863,2324,35,4,0,yes,yes
'BAKERVI01',783,25653,11812,2159,3689,5848,1504,578,793,1747,2548,9660,4685,3769,2403,181,39,1,yes,yes
'BALLAGR01',802,22073,9953,1434,3424,4858,1733,877,256,1059,1807,8942,4220,1805,1420,275,93,0,yes,yes
'BANKSMA01',162,2530,852,59,200,259,330,151,26,204,317,728,292,294,220,145,48,0,yes,no
'BANTOMI01',706,19725,8568,1632,2885,4517,1623,630,478,946,2489,7362,3446,2418,1673,15,3,0,yes,no
'BARKLCH01',1073,39330,23757,4260,8286,12546,4215,1648,888,3376,3287,15605,8435,8643,6349,2020,538,1,yes,yes
'BARNEDI01',971,28937,15358,1,3,2812,2729,1,0,0,2514,13227,6034,4324,3290,0,0,1,yes,no
'BARRODA01',850,19481,8901,231,1378,1609,2837,740,46,1213,1074,7148,3281,1456,1249,2652,1090,1,yes,yes
'BARRYBR01',676,19340,6993,339,1973,2312,2499,819,208,1110,1479,5199,2391,1365,1121,2710,1090,0,yes,yes
'BARRYRI01',794,28825,18395,510,2366,5168,4017,1104,269,574,2264,16163,7252,4243,3818,221,73,1,yes,yes
