@RELATION team_success

@ATTRIBUTE teama {ATL,BOS,CHI,CHR,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS}
@ATTRIBUTE pacea numeric
@ATTRIBUTE wona numeric
@ATTRIBUTE losta numeric
@ATTRIBUTE cumulativescorea numeric
@ATTRIBUTE teamb {ATL,BOS,CHI,CHR,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS}
@ATTRIBUTE paceb numeric
@ATTRIBUTE wonb numeric
@ATTRIBUTE lostb numeric
@ATTRIBUTE cumulativescoreb numeric
@ATTRIBUTE winner {0,1}

@DATA
ATL,93.94873,13,69,63680,BOS,95.735855,45,37,65720,0
ATL,93.94873,13,69,63680,CHI,96.283737,47,35,63778,0
ATL,93.94873,13,69,63680,CHR,96.20163,18,64,64207,0
ATL,93.94873,13,69,63680,CLE,93.840187,42,40,62969,0
ATL,93.94873,13,69,63680,DAL,95.204948,58,24,65387,0
ATL,93.94873,13,69,63680,DEN,96.02964,49,33,64821,0
ATL,93.94873,13,69,63680,DET,89.839737,54,28,61316,0
ATL,93.94873,13,69,63680,GSW,95.689407,34,48,66613,0
ATL,93.94873,13,69,63680,HOU,91.30323,51,31,62345,0
ATL,93.94873,13,69,63680,IND,90.938339,44,38,61325,0
ATL,93.94873,13,69,63680,LAC,91.881775,37,45,62651,0
ATL,93.94873,13,69,63680,LAL,94.820389,34,48,65930,0
ATL,93.94873,13,69,63680,MEM,90.929123,45,37,61646,0
ATL,93.94873,13,69,63680,MIA,92.870872,59,23,63796,0
ATL,93.94873,13,69,63680,MIL,93.594177,30,52,63521,0
ATL,93.94873,13,69,63680,MIN,92.771713,44,38,62964,0
ATL,93.94873,13,69,63680,NJN,91.83976,42,40,61457,1
ATL,93.94873,13,69,63680,NOH,90.471931,18,64,61735,1
ATL,93.94873,13,69,63680,NYK,94.384277,33,49,63762,0
ATL,93.94873,13,69,63680,ORL,97.333916,36,46,65411,0
ATL,93.94873,13,69,63680,PHI,97.40168,43,39,66306,0
ATL,93.94873,13,69,63680,PHO,98.47644,62,20,69615,0
ATL,93.94873,13,69,63680,POR,92.568474,27,55,63280,0
ATL,93.94873,13,69,63680,SAC,96.841805,50,32,66721,0
ATL,93.94873,13,69,63680,SAS,91.455696,59,23,61433,0
ATL,93.94873,13,69,63680,SEA,91.244949,52,30,62773,0
ATL,93.94873,13,69,63680,TOR,95.012611,33,49,65318,0
ATL,93.94873,13,69,63680,UTA,91.195145,26,56,61361,1
ATL,93.94873,13,69,63680,WAS,96.008492,45,37,66161,0
BOS,95.735855,45,37,65720,ATL,93.94873,13,69,63680,1
BOS,95.735855,45,37,65720,CHI,96.283737,47,35,63778,1
BOS,95.735855,45,37,65720,CHR,96.20163,18,64,64207,1
BOS,95.735855,45,37,65720,CLE,93.840187,42,40,62969,1
BOS,95.735855,45,37,65720,DAL,95.204948,58,24,65387,0
BOS,95.735855,45,37,65720,DEN,96.02964,49,33,64821,0
BOS,95.735855,45,37,65720,DET,89.839737,54,28,61316,1
BOS,95.735855,45,37,65720,GSW,95.689407,34,48,66613,0
BOS,95.735855,45,37,65720,HOU,91.30323,51,31,62345,1
BOS,95.735855,45,37,65720,IND,90.938339,44,38,61325,1
BOS,95.735855,45,37,65720,LAC,91.881775,37,45,62651,1
BOS,95.735855,45,37,65720,LAL,94.820389,34,48,65930,0
BOS,95.735855,45,37,65720,MEM,90.929123,45,37,61646,1
BOS,95.735855,45,37,65720,MIA,92.870872,59,23,63796,0
BOS,95.735855,45,37,65720,MIL,93.594177,30,52,63521,1
BOS,95.735855,45,37,65720,MIN,92.771713,44,38,62964,1
BOS,95.735855,45,37,65720,NJN,91.83976,42,40,61457,1
BOS,95.735855,45,37,65720,NOH,90.471931,18,64,61735,1
BOS,95.735855,45,37,65720,NYK,94.384277,33,49,63762,1
BOS,95.735855,45,37,65720,ORL,97.333916,36,46,65411,1
BOS,95.735855,45,37,65720,PHI,97.40168,43,39,66306,0
BOS,95.735855,45,37,65720,PHO,98.47644,62,20,69615,0
BOS,95.735855,45,37,65720,POR,92.568474,27,55,63280,1
BOS,95.735855,45,37,65720,SAC,96.841805,50,32,66721,0
BOS,95.735855,45,37,65720,SAS,91.455696,59,23,61433,1
BOS,95.735855,45,37,65720,SEA,91.244949,52,30,62773,1
BOS,95.735855,45,37,65720,TOR,95.012611,33,49,65318,1
BOS,95.735855,45,37,65720,UTA,91.195145,26,56,61361,1
BOS,95.735855,45,37,65720,WAS,96.008492,45,37,66161,0
CHI,96.283737,47,35,63778,ATL,93.94873,13,69,63680,1
CHI,96.283737,47,35,63778,BOS,95.735855,45,37,65720,0
CHI,96.283737,47,35,63778,CHR,96.20163,18,64,64207,1
CHI,96.283737,47,35,63778,CLE,93.840187,42,40,62969,1
CHI,96.283737,47,35,63778,DAL,95.204948,58,24,65387,0
CHI,96.283737,47,35,63778,DEN,96.02964,49,33,64821,0
CHI,96.283737,47,35,63778,DET,89.839737,54,28,61316,1
CHI,96.283737,47,35,63778,GSW,95.689407,34,48,66613,0
CHI,96.283737,47,35,63778,HOU,91.30323,51,31,62345,1
CHI,96.283737,47,35,63778,IND,90.938339,44,38,61325,1
CHI,96.283737,47,35,63778,LAC,91.881775,37,45,62651,1
CHI,96.283737,47,35,63778,LAL,94.820389,34,48,65930,0
CHI,96.283737,47,35,63778,MEM,90.929123,45,37,61646,1
CHI,96.283737,47,35,63778,MIA,92.870872,59,23,63796,0
CHI,96.283737,47,35,63778,MIL,93.594177,30,52,63521,1
CHI,96.283737,47,35,63778,MIN,92.771713,44,38,62964,1
CHI,96.283737,47,35,63778,NJN,91.83976,42,40,61457,1
CHI,96.283737,47,35,63778,NOH,90.471931,18,64,61735,1
CHI,96.283737,47,35,63778,NYK,94.384277,33,49,63762,1
CHI,96.283737,47,35,63778,ORL,97.333916,36,46,65411,0
CHI,96.283737,47,35,63778,PHI,97.40168,43,39,66306,0
CHI,96.283737,47,35,63778,PHO,98.47644,62,20,69615,0
CHI,96.283737,47,35,63778,POR,92.568474,27,55,63280,1
CHI,96.283737,47,35,63778,SAC,96.841805,50,32,66721,0
CHI,96.283737,47,35,63778,SAS,91.455696,59,23,61433,0
CHI,96.283737,47,35,63778,SEA,91.244949,52,30,62773,0
CHI,96.283737,47,35,63778,TOR,95.012611,33,49,65318,0
CHI,96.283737,47,35,63778,UTA,91.195145,26,56,61361,1
CHI,96.283737,47,35,63778,WAS,96.008492,45,37,66161,0
CHR,96.20163,18,64,64207,ATL,93.94873,13,69,63680,1
CHR,96.20163,18,64,64207,BOS,95.735855,45,37,65720,0
CHR,96.20163,18,64,64207,CHI,96.283737,47,35,63778,0
CHR,96.20163,18,64,64207,CLE,93.840187,42,40,62969,0
CHR,96.20163,18,64,64207,DAL,95.204948,58,24,65387,0
CHR,96.20163,18,64,64207,DEN,96.02964,49,33,64821,0
CHR,96.20163,18,64,64207,DET,89.839737,54,28,61316,0
CHR,96.20163,18,64,64207,GSW,95.689407,34,48,66613,0
CHR,96.20163,18,64,64207,HOU,91.30323,51,31,62345,0
CHR,96.20163,18,64,64207,IND,90.938339,44,38,61325,1
CHR,96.20163,18,64,64207,LAC,91.881775,37,45,62651,1
CHR,96.20163,18,64,64207,LAL,94.820389,34,48,65930,0
CHR,96.20163,18,64,64207,MEM,90.929123,45,37,61646,1
CHR,96.20163,18,64,64207,MIA,92.870872,59,23,63796,0
CHR,96.20163,18,64,64207,MIL,93.594177,30,52,63521,1
CHR,96.20163,18,64,64207,MIN,92.771713,44,38,62964,0
CHR,96.20163,18,64,64207,NJN,91.83976,42,40,61457,1
CHR,96.20163,18,64,64207,NOH,90.471931,18,64,61735,1
CHR,96.20163,18,64,64207,NYK,94.384277,33,49,63762,0
CHR,96.20163,18,64,64207,ORL,97.333916,36,46,65411,0
CHR,96.20163,18,64,64207,PHI,97.40168,43,39,66306,0
CHR,96.20163,18,64,64207,PHO,98.47644,62,20,69615,0
CHR,96.20163,18,64,64207,POR,92.568474,27,55,63280,1
CHR,96.20163,18,64,64207,SAC,96.841805,50,32,66721,0
CHR,96.20163,18,64,64207,SAS,91.455696,59,23,61433,0
CHR,96.20163,18,64,64207,SEA,91.244949,52,30,62773,0
CHR,96.20163,18,64,64207,TOR,95.012611,33,49,65318,0
CHR,96.20163,18,64,64207,UTA,91.195145,26,56,61361,1
CHR,96.20163,18,64,64207,WAS,96.008492,45,37,66161,0
CLE,93.840187,42,40,62969,ATL,93.94873,13,69,63680,1
CLE,93.840187,42,40,62969,BOS,95.735855,45,37,65720,0
CLE,93.840187,42,40,62969,CHI,96.283737,47,35,63778,0
CLE,93.840187,42,40,62969,CHR,96.20163,18,64,64207,1
CLE,93.840187,42,40,62969,DAL,95.204948,58,24,65387,0
CLE,93.840187,42,40,62969,DEN,96.02964,49,33,64821,0
CLE,93.840187,42,40,62969,DET,89.839737,54,28,61316,1
CLE,93.840187,42,40,62969,GSW,95.689407,34,48,66613,0
CLE,93.840187,42,40,62969,HOU,91.30323,51,31,62345,1
CLE,93.840187,42,40,62969,IND,90.938339,44,38,61325,1
CLE,93.840187,42,40,62969,LAC,91.881775,37,45,62651,1
CLE,93.840187,42,40,62969,LAL,94.820389,34,48,65930,0
CLE,93.840187,42,40,62969,MEM,90.929123,45,37,61646,1
